id,question,solution_a,total_runtime_a,avg_memory_a,solution_b,total_runtime_b,avg_memory_b,solution_c,total_runtime_c,avg_memory_c,order
1,"
def digit_parity_match(numbers: list[int]) -> list[int]:
""""""
Filter a list of positive integers, returning only the numbers where the parity
(even or odd status) of the number itself matches the parity of the sum of its digits.

For example, 24 is even and 2+4=6 is even, so it passes.
12 is even but 1+2=3 is odd, so it fails.

Examples:
digit_parity_match([12, 24, 55, 23]) == [24, 23]
digit_parity_match([10, 20, 30]) == []
digit_parity_match([11, 22, 33]) == [22]
digit_parity_match([]) == []
""""""
","def digit_parity_match(numbers: list[int]) -> list[int]:
    return [n for n in numbers if n % 2 == sum(int(d) for d in str(n)) % 2]",0.0007409,26.97421875,"def digit_parity_match(numbers: list[int]) -> list[int]:
    result = []
    for n in numbers:
        total = 0
        temp = n
        while temp > 0:
            total += temp % 10
            temp //= 10
        if total % 2 == n % 2:
            result.append(n)
    return result",0.0005312,26.97421875,"def digit_parity_match(numbers: list[int]) -> list[int]:
    parity = [0, 1, 0, 1, 0, 1, 0, 1, 0, 1]

    def digit_parity_of(n: int) -> int:
        if n == 0:
            return 0
        acc = 0
        while n:
            acc ^= parity[n % 10]
            n //= 10
        return acc

    result = []
    for n in numbers:
        if digit_parity_of(n) == (n & 1):
            result.append(n)
    return result",0.0006331,26.97421875,"['b', 'c', 'a']"
2,"
def reverse_target_words(sentence: str, target: str) -> str:
""""""
Given a string `sentence` and a single character `target`, return a new string
where every word containing the `target` character is reversed.
All other words remain the same. Words are separated by spaces.

>>> reverse_target_words(""hello world"", ""l"")
""olleh dlrow""
>>> reverse_target_words("" is cool"", ""o"")
"" is looc""
>>> reverse_target_words(""simple example"", ""z"")
""simple example""
>>> reverse_target_words(""catch the cat"", ""c"")
""hctac the tac""
""""""
","def reverse_target_words(sentence: str, target: str) -> str:
    return ' '.join(word[::-1] if target in word else word for word in sentence.split(' '))",0.0004011,26.13242188,"def reverse_target_words(sentence: str, target: str) -> str:
    res = []
    word = """"
    for char in sentence:
        if char == "" "":
            if target in word:
                res.append(word[::-1])
            else:
                res.append(word)
            res.append("" "")
            word = """"
        else:
            word += char
    if target in word:
        res.append(word[::-1])
    else:
        res.append(word)
    return """".join(res)",0.0005044,26.13242188,"def reverse_target_words(sentence: str, target: str) -> str:
    res = []
    i = 0
    n = len(sentence)
    while i < n:
        if sentence[i] == ' ':
            res.append(' ')
            i += 1
        else:
            j = i
            while j < n and sentence[j] != ' ':
                j += 1
            word = sentence[i:j]
            if target in word:
                res.append(word[::-1])
            else:
                res.append(word)
            i = j
    return ''.join(res)
",0.0007658,26.13242188,"['a', 'b', 'c']"
3,"
def select_unique_vowel_words(text: str) -> list:
""""""
Given a string of space-separated words, return a list of words that satisfy two conditions:
1. The word contains at least one vowel (a, e, i, o, u), case-insensitive.
2. The word consists of unique characters only (case-insensitive).

Return the list sorted by word length in descending order. If two words have the same length,
sort them alphabetically in ascending order.

Examples:
select_unique_vowel_words(""Apple banana Cat dog"") == ['Cat', 'dog']
select_unique_vowel_words("" is great"") == [' ', 'great', 'is']
select_unique_vowel_words(""level radar civic"") == []
select_unique_vowel_words(""Hi World"") == ['World', 'Hi']
""""""
","def select_unique_vowel_words(text: str) -> list:
    vowels = set('aeiouAEIOU')
    result = []
    for word in text.split():
        lower_word = word.lower()
        if any(c in vowels for c in word) and len(set(lower_word)) == len(lower_word):
            result.append(word)
    return sorted(result, key=lambda w: (-len(w), w))",0.000649,26.04921875,"def select_unique_vowel_words(text: str) -> list:
    vowels = ""aeiou""
    results = []
    for word in text.split():
        low = word.lower()
        # Word must contain at least one vowel and have no repeating characters
        if any(v in low for v in vowels) and all(low.count(c) == 1 for c in low):
            results.append(word)
    # Sort alphabetically first, then by length descending for a stable multi-key sort
    results.sort()
    results.sort(key=len, reverse=True)
    return results",0.0005479,26.04921875,"def select_unique_vowel_words(text: str) -> list:
    vowels = set('aeiou')
    words = text.split()
    result = []
    for w in words:
        lw = w.lower()
        if not vowels.isdisjoint(lw) and len(set(lw)) == len(lw):
            result.append(w)
    return sorted(result, key=lambda x: (-len(x), x))",0.0008891,26.04921875,"['b', 'a', 'c']"
4,"
from typing import List

def running_max_difference(numbers: List[int]) -> List[int]:
""""""
Generate a list where the i-th element is the difference between the maximum
value seen in the input list up to index i (inclusive) and the element at index i.

The result at index i is calculated as: max(numbers[0]...numbers[i]) - numbers[i].

Examples:
running_max_difference([1, 2, 3, 4, 5]) == [0, 0, 0, 0, 0]
running_max_difference([5, 4, 3, 2, 1]) == [0, 1, 2, 3, 4]
running_max_difference([3, 1, 4, 1, 5, 9, 2]) == [0, 2, 0, 3, 0, 0, 7]
running_max_difference([]) == []
""""""
","from typing import List

def running_max_difference(numbers: List[int]) -> List[int]:
    if not numbers:
        return []
    result = []
    current_max = numbers[0]
    for n in numbers:
        current_max = max(current_max, n)
        result.append(current_max - n)
    return result",0.0006194,26.690625,"from typing import List
import itertools

def running_max_difference(numbers: List[int]) -> List[int]:
    max_values = itertools.accumulate(numbers, max)
    return [m - x for m, x in zip(max_values, numbers)]",0.0005274,26.690625,"from typing import List

def running_max_difference(numbers: List[int]) -> List[int]:
    return [max(numbers[:i+1]) - x for i, x in enumerate(numbers)]
",0.0004889,26.690625,"['c', 'b', 'a']"
5,"
def max_parity_sum(nums: list) -> int:
""""""
Given a list of integers, find the maximum sum of a contiguous subarray
where all elements share the same parity (i.e., they are all odd or all even).

If the list is empty, return 0.
The subarray must contain at least one element.

max_parity_sum([1, 2, 3, 5]) == 8 # Subarrays: [1], [2], [3, 5]. Sums: 1, 2, 8.
max_parity_sum([2, 4, 6, 1, 3]) == 12 # Subarrays: [2, 4, 6], [1, 3]. Sums: 12, 4.
max_parity_sum([10, 20, 3, 40]) == 40 # Subarrays: [10, 20], [3], [40]. Sums: 30, 3, 40.
max_parity_sum([-2, -4, 5]) == 5 # Subarrays: [-2, -4], [5]. Sums: -6, 5.
""""""
pass
","def max_parity_sum(nums: list) -> int:
    if not nums:
        return 0
    max_sum = float('-inf')
    i = 0
    while i < len(nums):
        parity = nums[i] % 2
        current_sum = 0
        while i < len(nums) and nums[i] % 2 == parity:
            current_sum += nums[i]
            i += 1
        max_sum = max(max_sum, current_sum)
    return max_sum",0,0,"def max_parity_sum(nums: list) -> int:
    if not nums:
        return 0
    splits = [0] + [i for i in range(1, len(nums)) if nums[i] % 2 != nums[i-1] % 2] + [len(nums)]
    return max(sum(nums[i:j]) for i, j in zip(splits, splits[1:]))",0,0,"def max_parity_sum(nums: list) -> int:
    if not nums:
        return 0
    current = nums[0]
    best = nums[0]
    prev_par = nums[0] & 1
    for x in nums[1:]:
        if (x & 1) == prev_par:
            s = current + x
            current = x if s < x else s
        else:
            current = x
        if current > best:
            best = current
        prev_par = x & 1
    return best
",0.0004473,26.44863281,"['c', 'a', 'b']"
6,"
def filter_divisible_by_digit_sum(numbers: list) -> list:
""""""
Given a list of positive integers, return a new list containing only the numbers
that are divisible by the sum of their own digits.

- The order of numbers in the output should match their original order.
- Assume all input numbers are integers > 0.

Examples:
filter_divisible_by_digit_sum([12, 13, 18, 20]) == [12, 18, 20]
filter_divisible_by_digit_sum([10, 11, 22]) == [10]
filter_divisible_by_digit_sum([1, 7, 9]) == [1, 7, 9]
filter_divisible_by_digit_sum([100, 101, 102]) == [100, 102]
""""""
","def filter_divisible_by_digit_sum(numbers: list) -> list:
    result = []
    for n in numbers:
        digit_sum = sum(int(d) for d in str(n))
        if digit_sum > 0 and n % digit_sum == 0:
            result.append(n)
    return result",0.0005653,26.90429688,"def filter_divisible_by_digit_sum(numbers: list) -> list:
    output = []
    for n in numbers:
        s, t = 0, n
        while t > 0:
            s += t % 10
            t //= 10
        if n % s == 0:
            output.append(n)
    return output",0.0005301,26.90429688,"def filter_divisible_by_digit_sum(numbers: list) -> list:
    from functools import lru_cache

    @lru_cache(maxsize=None)
    def digit_sum(n: int) -> int:
        if n < 10:
            return n
        return (n % 10) + digit_sum(n // 10)

    result = []
    for n in numbers:
        s = digit_sum(n)
        if s and n % s == 0:
            result.append(n)
    return result",0.0010713,26.90429688,"['b', 'a', 'c']"
7,"
def interleave_and_flip(a: list, b: list) -> list:
""""""
Create a new list by interleaving elements from list 'a' and list 'b',
starting with the first element of 'a'.

Once the shorter list is exhausted, take the remaining elements of the
longer list, reverse their order, and append them to the result.

Examples:
interleave_and_flip([1, 2, 3], ['a', 'b', 'c']) == [1, 'a', 2, 'b', 3, 'c']
interleave_and_flip([1, 2, 3, 4, 5], ['x', 'y']) == [1, 'x', 2, 'y', 5, 4, 3]
interleave_and_flip([], [1, 2, 3]) == [3, 2, 1]
interleave_and_flip([5], []) == [5]
""""""
","def interleave_and_flip(a: list, b: list) -> list:
    result = []
    min_len = min(len(a), len(b))
    for i in range(min_len):
        result.append(a[i])
        result.append(b[i])
    if len(a) > min_len:
        result.extend(a[min_len:][::-1])
    elif len(b) > min_len:
        result.extend(b[min_len:][::-1])
    return result",0.0011234,27.05390625,"def interleave_and_flip(a: list, b: list) -> list:
    combined = []
    i = 0
    while i < len(a) and i < len(b):
        combined.append(a[i])
        combined.append(b[i])
        i += 1
    tail = a[i:] + b[i:]
    while tail:
        combined.append(tail.pop())
    return combined",0.0006033,27.05390625,"def interleave_and_flip(a: list, b: list) -> list:
    min_len = min(len(a), len(b))
    result = [x for pair in zip(a[:min_len], b[:min_len]) for x in pair]
    if len(a) > min_len:
        result.extend(a[min_len:][::-1])
    elif len(b) > min_len:
        result.extend(b[min_len:][::-1])
    return result",0.0006256,27.05390625,"['b', 'c', 'a']"
8,"
def filter_by_digit_sum(numbers: list[int], target: int) -> list[int]:
""""""
Filter the input list to include only positive integers whose digits sum up to the specified target.
Return the result in the original order.

>>> filter_by_digit_sum([12, 30, 25, 111], 3)
[12, 30, 111]
>>> filter_by_digit_sum([5, 14, 23], 5)
[5, 14, 23]
>>> filter_by_digit_sum([99, 100], 1)
[100]
>>> filter_by_digit_sum([], 10)
[]
""""""
","def filter_by_digit_sum(numbers: list[int], target: int) -> list[int]:
    return [n for n in numbers if sum(int(d) for d in str(n)) == target]",0,0,"def filter_by_digit_sum(numbers: list[int], target: int) -> list[int]:
    result = []
    for n in numbers:
        if n > 0:
            total = 0
            temp = n
            while temp > 0:
                total += temp % 10
                temp //= 10
            if total == target:
                result.append(n)
    return result",0.0005994,31.92070313,"def filter_by_digit_sum(numbers: list[int], target: int) -> list[int]:
    def sum_digits(n: int) -> int:
        if n < 10:
            return n
        return (n % 10) + sum_digits(n // 10)
    result = []
    for n in numbers:
        if n > 0 and sum_digits(n) == target:
            result.append(n)
    return result",0.0005252,26.70761719,"['c', 'b', 'a']"
9,"
def max_digit_spread(numbers):
""""""
Given a list of non-negative integers, return the number that has the largest difference
between its maximum and minimum digit.
If multiple numbers have the same maximal difference, return the one that appears first in the list.
Return None if the list is empty.

>>> max_digit_spread([14, 29, 0])
29
>>> max_digit_spread([11, 22, 33])
11
>>> max_digit_spread([105, 90, 81])
90
>>> max_digit_spread([])
None
""""""
","def max_digit_spread(numbers):
    if not numbers:
        return None
    best_num = numbers[0]
    best_spread = max(int(d) for d in str(numbers[0])) - min(int(d) for d in str(numbers[0]))
    for n in numbers[1:]:
        digits = [int(d) for d in str(n)]
        spread = max(digits) - min(digits)
        if spread > best_spread:
            best_spread = spread
            best_num = n
    return best_num",0.0005745,26.51777344,"def max_digit_spread(numbers):
    if not numbers:
        return None
    
    spreads = []
    for n in numbers:
        val = n
        hi = lo = val % 10
        val //= 10
        while val > 0:
            digit = val % 10
            if digit > hi:
                hi = digit
            if digit < lo:
                lo = digit
            val //= 10
        spreads.append(hi - lo)
    
    max_diff = max(spreads)
    return numbers[spreads.index(max_diff)]",0.0004749,26.51777344,"def max_digit_spread(numbers):
    if not numbers:
        return None

    def spread_of(n):
        s = str(n)
        digits = sorted(s)
        return int(digits[-1]) - int(digits[0])

    best_num = numbers[0]
    best_spread = spread_of(best_num)

    for n in numbers[1:]:
        cur = spread_of(n)
        if cur > best_spread:
            best_spread = cur
            best_num = n

    return best_num",0.0005745,26.51777344,"['b', 'a', 'c']"
10,"
def shift_even_strings(words):
""""""
Given a list of strings, filter out strings with odd lengths. For the remaining
strings (even length), move the first character to the end (cyclic left shift).
Return the resulting list sorted in alphabetical order.

Examples:
shift_even_strings([""apple"", ""banana"", ""pear"", ""kiwi""]) == [""ananab"", ""earp"", ""iwik""]
shift_even_strings([""cat"", ""dog""]) == []
shift_even_strings([""go"", ""to"", ""bed""]) == [""og"", ""ot""]
""""""
","def shift_even_strings(words):
    result = []
    for word in words:
        if len(word) % 2 == 0:
            result.append(word[1:] + word[0])
    return sorted(result)",0.0008348,26.47851563,"def shift_even_strings(words):
    i = 0
    res = []
    while i < len(words):
        s = words[i]
        if len(s) % 2 == 0:
            res.append(s[1:] + s[:1])
        i += 1
    res.sort()
    return res",0.0013012,26.47851563,"def shift_even_strings(words):
    from collections import deque
    res = []
    for w in words:
        if len(w) % 2 == 0:
            d = deque(w)
            d.rotate(-1)
            res.append(''.join(d))
    return sorted(res)",0.0006565,26.47851563,"['c', 'a', 'b']"
